Date,Outcomes,Predominant function of establishment,Establishment,Adjudicator,Sex,Age group,Ethnicity,Religion,Offence,Detailed offence,Count
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,18 - 20,c Mixed/ Multiple ethnic groups,a Christian,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,a Asian or Asian British,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,a Asian or Asian British,e Buddhist,Disobedience/disrespect,Disobeys any rule or regulation,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,Obstructs an officer executing his duty,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,d Other ethnic group,b Muslim,Other offences, Endangers health/safety of any person,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,21 - 24,e White,a Christian,Unauthorised transactions,Drug related offence,2
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,2
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,a Christian,Wilful Damage,Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,e White,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,e White,a Christian,Other offences, Endangers health/safety of any person,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,e White,a Christian,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,25 - 29,e White,i No religion,Disobedience/disrespect,Disobeys any rule or regulation,1
